Datum,Titel,Art
21.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Kindertagespflegestellen%20in%20Marzahn-Hellersdorf' target='_blank'>Kindertagespflegestellen in Marzahn-Hellersdorf</a>,Update
21.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/VBB-Fahrplandaten%20via%20GTFS' target='_blank'>VBB-Fahrplandaten via GTFS</a>,Update
21.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Kurse%20der%20Berliner%20Volkshochschulen' target='_blank'>Kurse der Berliner Volkshochschulen</a>,Update
21.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Kostenlose%20und%20ermäßigte%20Angebote%20im%20Land%20Berlin' target='_blank'>Kostenlose und ermäßigte Angebote im Land Berlin</a>,Update
20.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Berliner%20Gedenktafeln%20in%20Steglitz-Zehlendorf' target='_blank'>Berliner Gedenktafeln in Steglitz-Zehlendorf</a>,Update
20.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Staatliche%20Dienste%20im%20INSPIRE-Datenmodell%20(Ambulanter%20Dienst%20und%20Unterbringung)%20-%20[WFS]' target='_blank'>Staatliche Dienste im INSPIRE-Datenmodell (Ambulanter Dienst und Unterbringung) - [WFS]</a>,Neu
20.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Staatliche%20Dienste%20im%20INSPIRE-Datenmodell%20(Ambulanter%20Dienst%20und%20Unterbringung)%20-%20[Atom]' target='_blank'>Staatliche Dienste im INSPIRE-Datenmodell (Ambulanter Dienst und Unterbringung) - [Atom]</a>,Neu
20.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Staatliche%20Dienste%20im%20INSPIRE-Datenmodell%20(Ambulanter%20Dienst%20und%20Unterbringung)%20-%20[WMS]' target='_blank'>Staatliche Dienste im INSPIRE-Datenmodell (Ambulanter Dienst und Unterbringung) - [WMS]</a>,Neu
19.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Abwassermonitoring%20Berlin%20–%20Viruslast%20im%20Abwasser' target='_blank'>Abwassermonitoring Berlin – Viruslast im Abwasser</a>,Update
19.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Starkregenhinweiskarte%20-%20[WMS]' target='_blank'>Starkregenhinweiskarte - [WMS]</a>,Update
19.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Starkregenhinweiskarte%20-%20[WFS]' target='_blank'>Starkregenhinweiskarte - [WFS]</a>,Update
19.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Starkregenhinweiskarte%20-%20[Atom]' target='_blank'>Starkregenhinweiskarte - [Atom]</a>,Update
19.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Förderungen%20/%20Finanzen' target='_blank'>Förderungen / Finanzen</a>,Update
18.02.2025,"<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/COVID-19%20in%20Berlin,%207-Tage-Inzidenz%20nach%20Altersgruppen%20und%20Meldewochen%20-%20Gesamtübersicht' target='_blank'>COVID-19 in Berlin, 7-Tage-Inzidenz nach Altersgruppen und Meldewochen - Gesamtübersicht</a>",Update
18.02.2025,"<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/COVID-19%20in%20Berlin,%20Verteilung%20in%20den%20Bezirken%20-%20Gesamtübersicht' target='_blank'>COVID-19 in Berlin, Verteilung in den Bezirken - Gesamtübersicht</a>",Update
18.02.2025,"<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/COVID-19%20in%20Berlin,%20Fallzahlen%20und%20Indikatoren%20-%20Gesamtübersicht' target='_blank'>COVID-19 in Berlin, Fallzahlen und Indikatoren - Gesamtübersicht</a>",Update
18.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Steuereinnahmen%20des%20Landes%20Berlin%202025' target='_blank'>Steuereinnahmen des Landes Berlin 2025</a>,Neu
17.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Öffentlich%20zugängliche%20Ladeinfrastruktur%20für%20E-Fahrzeuge%20-%20[WFS]' target='_blank'>Öffentlich zugängliche Ladeinfrastruktur für E-Fahrzeuge - [WFS]</a>,Update
17.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Öffentlich%20zugängliche%20Ladeinfrastruktur%20für%20E-Fahrzeuge%20-%20[WMS]' target='_blank'>Öffentlich zugängliche Ladeinfrastruktur für E-Fahrzeuge - [WMS]</a>,Update
17.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Grünanlagenbestand%20Berlin%20(einschließlich%20der%20öffentlichen%20Spielplätze)%20-%20[WFS]' target='_blank'>Grünanlagenbestand Berlin (einschließlich der öffentlichen Spielplätze) - [WFS]</a>,Neu
17.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Kleingartenbestand%20Berlin%20-%20[WFS]' target='_blank'>Kleingartenbestand Berlin - [WFS]</a>,Neu
17.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Grünanlagenbestand%20Berlin%20(einschließlich%20der%20öffentlichen%20Spielplätze)%20-%20[WMS]' target='_blank'>Grünanlagenbestand Berlin (einschließlich der öffentlichen Spielplätze) - [WMS]</a>,Neu
17.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Kleingartenbestand%20Berlin%20-%20[WMS]' target='_blank'>Kleingartenbestand Berlin - [WMS]</a>,Neu
14.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Öffentliche%20Toiletten%20im%20Bezirk%20Lichtenberg' target='_blank'>Öffentliche Toiletten im Bezirk Lichtenberg</a>,Update
14.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Existierende%20Bodennutzung%20im%20INSPIRE-Datenmodell%20(Flächennutzung%20Umweltatlas%202022)%20-%20[Atom]' target='_blank'>Existierende Bodennutzung im INSPIRE-Datenmodell (Flächennutzung Umweltatlas 2022) - [Atom]</a>,Neu
14.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Existierende%20Bodennutzung%20im%20INSPIRE-Datenmodell%20(Flächennutzung%20Umweltatlas%202022)%20-%20[WMS]' target='_blank'>Existierende Bodennutzung im INSPIRE-Datenmodell (Flächennutzung Umweltatlas 2022) - [WMS]</a>,Neu
13.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Detailnetz%20Berlin%20-%20[WFS]' target='_blank'>Detailnetz Berlin - [WFS]</a>,Update
13.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Übergeordnetes%20Straßennetz%20Bestand%20-%20[WFS]' target='_blank'>Übergeordnetes Straßennetz Bestand - [WFS]</a>,Update
13.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Übergeordnetes%20Straßennetz%20Bestand%20-%20[WMS]' target='_blank'>Übergeordnetes Straßennetz Bestand - [WMS]</a>,Update
13.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Detailnetz%20Berlin%20-%20[WMS]' target='_blank'>Detailnetz Berlin - [WMS]</a>,Update
12.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Organigramm%20der%20Serviceeinheit%20Facility%20Management%20des%20Bezirksamtes%20Pankow' target='_blank'>Organigramm der Serviceeinheit Facility Management des Bezirksamtes Pankow</a>,Neu
12.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Produktions-%20und%20Industrieanlagen%20im%20INSPIRE-Datenmodell%20(LISA-Anlagen)%20-%20[WMS]' target='_blank'>Produktions- und Industrieanlagen im INSPIRE-Datenmodell (LISA-Anlagen) - [WMS]</a>,Neu
12.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Produktions-%20und%20Industrieanlagen%20im%20INSPIRE-Datenmodell%20(LISA-Anlagen)%20-%20[Atom]' target='_blank'>Produktions- und Industrieanlagen im INSPIRE-Datenmodell (LISA-Anlagen) - [Atom]</a>,Neu
12.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Produktions-%20und%20Industrieanlagen%20im%20INSPIRE-Datenmodell%20(LISA-Anlagen)%20-%20[WFS]' target='_blank'>Produktions- und Industrieanlagen im INSPIRE-Datenmodell (LISA-Anlagen) - [WFS]</a>,Neu
11.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Energetischer%20Sanierungsfahrplan%20bezirklicher%20Gebäude%20-%20Lichtenberg' target='_blank'>Energetischer Sanierungsfahrplan bezirklicher Gebäude - Lichtenberg</a>,Update
11.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Berliner%20und%20Brandenburger%20Straßen-%20und%20Volksfeste' target='_blank'>Berliner und Brandenburger Straßen- und Volksfeste</a>,Update
11.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Berliner%20und%20Brandenburger%20Weihnachtsmärkte' target='_blank'>Berliner und Brandenburger Weihnachtsmärkte</a>,Update
11.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Berliner%20und%20Brandenburger%20Wochen-%20und%20Trödelmärkte' target='_blank'>Berliner und Brandenburger Wochen- und Trödelmärkte</a>,Update
11.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Evaluation%20Winterspiel-%20und%20Bewegungsangebote%20Berlin-Mitte%20Saison%202023/2024' target='_blank'>Evaluation Winterspiel- und Bewegungsangebote Berlin-Mitte Saison 2023/2024</a>,Neu
10.02.2025,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/Doppelhaushalt%202024/2025%20(3.Nachtrag)' target='_blank'>Doppelhaushalt 2024/2025 (3.Nachtrag)</a>,Neu
